Condition\Participate ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Mean
33,75613.59652,27025.15192,33755.77905,29126.86212,152946.7984,97794.09939,109103.5902,16487.1809,51325.65646,14198.19294,52528.60043,9224.665822,75001.75554,20366.56976,54607.03567
34,52246.7885,100577.5496,9152.13407,25339.75488,136359.4256,22468.05544,125927.2241,16271.91663,11288.85707,24959.55585,13459.70558,224363.6121,38273.2943,30278.13279,59354.71475
35,53866.94514,14231.06415,22606.35132,16345.93125,169786.301,12630.02915,56597.7281,30370.54121,21966.09204,31128.55308,26046.77168,43982.44558,54913.71782,87343.704,45844.01253
36,385112.1472,17033.4235,153027.2603,24554.36444,115540.4735,230651.4861,105846.7419,369296.7766,28051.43537,30367.52139,443096.1621,58515.75479,24914.51355,417780.2671,171699.1663
37,199153.845,37501.98079,22074.83229,7965.959797,153717.6802,33269.77968,224606.003,411322.8333,64843.93488,30253.91739,19535.06788,60309.46152,15237.83528,460391.7626,124298.921
38,78498.19211,23065.28459,49441.61485,17800.71566,199297.6128,200633.3173,46327.13364,39078.08036,61214.79094,27030.85605,49166.71983,51970.00502,32548.84397,228913.9393,78927.65046
39,28475.3308,121639.9824,28844.37911,21188.81024,12374.24909,83909.1114,135957.509,27755.99243,45504.85058,29530.29522,46161.63296,80274.77534,56605.71493,188212.6557,64745.3778
40,317492.0757,75077.84932,16638.2085,31058.70425,90086.67564,44707.21481,181681.3565,84157.5533,90336.74584,268601.1894,222352.3296,50854.88743,49586.64363,53078.64094,112550.7196
41,67334.07053,61277.10959,66959.07605,13760.61108,381407.0274,111237.021,126343.59,14810.565,70067.94642,33213.05643,17444.23956,91757.88619,16095.9972,175306.4294,89072.47328
42,347960.4788,175711.4064,25406.00521,35334.46517,23001.57813,413126.3398,201174.6351,53168.51914,27675.11478,87576.56925,157528.0675,17698.69307,28800.33036,233272.9653,130531.0834
43,174135.6059,46993.65363,22354.28656,26236.36063,215675.4324,191221.5529,103837.0844,13599.93909,88110.56544,282669.7233,47399.06078,34710.23425,114061.0586,83483.05518,103177.6867
44,113412.7482,110123.3426,22831.51876,17407.83833,49188.70112,124655.0206,76897.13308,497653.0842,42870.06685,87770.67196,96878.09358,35656.90309,300952.2231,250862.3019,130511.4034
45,46861.85835,235905.3605,48688.58366,20810.54568,12683.32564,335935.8851,24386.92836,331625.1637,71342.02433,13180.90981,157076.2989,31739.502,10907.39587,179538.3187,108620.15
46,82782.6656,37993.56018,11204.72708,13599.83301,251023.0872,36071.30758,134827.2736,80524.70374,77555.68913,100228.4787,50389.54763,37701.34157,45383.57565,174837.2195,81008.78644
47,92681.12961,170738.6295,20544.75555,10348.46215,29588.55198,116425.6754,82370.42615,256951.367,23887.65425,91260.07187,51572.92498,19788.80535,40883.05567,426713.1362,102411.0461
48,62113.68556,84074.81481,3908.676123,13230.267,11355.00355,399806.2033,21982.20745,59058.8121,231774.6929,185064.9701,293537.9773,70768.73318,78425.40654,173750.3639,120632.2724
