211.740180359,221.776383229,291.075822963
403.089139327,224.803884511,308.592430436
114.077494809,143.082478143,93.7529442438
96.5155310106,107.433595187,114.535846591
355.783389159,324.301155815,369.896009715
255.365303502,297.154854768,456.530185598
288.479486809,214.19538806,171.050814912
52.5857735783,60.9010428232,63.9126863473
122.442879599,103.160609289,106.158725665
191.511139892,166.134148317,203.454785142
179.169681577,236.26578723,247.150060721
330.28871874,192.558608799,222.519187123
212.674175464,298.203876199,259.666797803
298.715811103,425.438819136,397.295304681
