102057.802574,109522.042891,145013.99407
170428.895306,109880.734391,166127.837584
61634.6664069,72810.6955729,47309.2053722
35454.5875063,49282.7363508,43167.1768126
160603.819991,148844.885869,169814.392956
123084.74845,136296.951828,208691.567081
141552.763399,97253.3131778,92459.0390347
27887.9574223,31324.0526475,33773.6481167
64667.6005909,62282.6355611,61071.398238
106863.603831,84003.9473011,96829.068464
88963.7880894,104554.304823,116972.10778
164752.587619,86084.0598233,101589.112651
113052.361838,167166.293898,129043.992524
147520.463707,200940.217508,170591.08368
