211.740180359,221.776383229,208.133594723
403.089139327,224.803884511,308.793856719
114.077494809,143.082478143,118.185090344
96.5155310106,107.433595187,91.5931117646
355.783389159,324.301155815,346.416423312
255.365303502,297.154854768,348.629820143
288.479486809,214.19538806,139.914322639
52.5857735783,60.9010428232,78.2976033337
122.442879599,103.160609289,106.068927739
191.511139892,166.134148317,188.841550303
179.169681577,236.26578723,199.250517679
330.28871874,192.558608799,206.018794119
212.674175464,298.203876199,276.584104257
298.715811103,425.438819136,464.494912053
