2005.03030303,1795.04761905,1756.66666667
1564.84848485,1465.85714286,1495.75
2474.48484848,2495.0952381,2057.0
2434.18181818,2580.76190476,3569.5
1886.48484848,1857.0952381,1891.5
1394.93939394,1390.61904762,1597.08333333
1660.63636364,1507.71428571,1574.91666667
2457.54545455,2705.57142857,2723.25
2146.54545455,2144.61904762,2099.66666667
1427.60606061,1508.66666667,1471.41666667
2103.54545455,2698.0,2042.0
1501.39393939,1830.76190476,1378.66666667
1704.87878788,1801.14285714,1653.58333333
1816.06060606,2125.19047619,2047.25
